id,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1021,0f8b63,970561,b0044a,a10855,b0004d,780482,5c01a1,6b9300,680095,718d00,867800,9b055d,a3005b,c13d00,2dc010,d32b00,740288,920368,b30b40,b0004d,8f1857,8d125f,aa0351,c33901,c80234,cb0231
1023,0022dc,0604f3,1200ec,0005f9,4100bd,0700f7,0b00f3,08f600,1000ed,00fe00,45b900,410ab3,560d9b,da2400,07b244,9a6400,6e018f,6e018e,890075,81007c,671284,5d0f91,7c0280,897400,880175,840179
1025,000bf3,0006f8,0801f5,1103ea,5b00a3,0500f9,0500f9,00fb03,0f00ef,05f900,4bb300,62009b,810478,d32b00,0ebd32,b44a00,740486,78087d,940169,91026b,771a6d,780c79,8e026e,966700,8d0170,890174
1027,77185,5b00a2,7.00E+80,610598,a70056,4d02af,3b0bb7,48b501,5201aa,41bd00,5f9f00,7a0380,770186,b24c00,23ce0c,e11d00,62019a,7a057e,ad0749,aa064d,7e245b,7b1a69,a10558,b34902,ba0241,b70343
1029,196183,6d028f,950069,820774,94006a,3800c5,4e01af,3dc100,5801a5,4eb000,55a900,6d0091,650098,c23c00,1ed50a,d92500,5b039f,860473,b30644,ae024e,762068,7c1a68,a60453,c03d01,cc042d,d40327
1031,0941b4,2b02d0,4701b6,2a03d1,63009b,0800f6,0801f5,0fef00,0900f4,0df100,26d800,2f06c9,3c00c2,cc3200,10d519,cc3200,5e029e,800974,b20349,a90252,7c235e,8c155d,a40456,bc4001,bd0140,bc023f
1033,2636a1,3a07bc,4006b8,4016a8,5006a7,1.80E+07,1100ec,15e900,2000de,27d700,30ce00,3303c7,4403b7,7b8300,1cbd25,ac5200,4305b5,540a9f,730585,6b0390,5b188a,681680,7c057c,8c7001,970463,970363
1035,0f21ce,0904f0,2000de,1.51E+03,8f006f,0c00f2,0901f3,05f900,1.30E+11,0bf300,4db100,51109c,4105b8,cf2f00,08bf36,be4000,5c049e,79057f,8e026e,820379,631b7f,611587,7b037f,8a7301,7f017d,7c0181
1037,1746a1,59069f,6b0291,620399,9a0064,2902d2,2505d4,30cc01,4301b9,3ec000,57a700,6c038e,6a0093,b94500,16bf29,c43a00,5002ab,670690,960167,8f016e,681a7b,6a1182,850475,946802,940168,930269
1039,1032bb,230fcb,3406c3,1310da,74008a,0600f7,0900f4,09f500,1400ea,0df100,3dc100,4c0ba6,4201bb,d12d00,10df0f,d92500,670393,830576,b60246,ab0251,7c265b,811c61,a70353,c13b01,c80134,c80234
1041,0a1dd7,1.60E+09,2d01d0,1.70E+06,6c0092,0d06ea,0900f4,07f600,0e00ef,06f800,2dd100,300dc1,2900d4,c83600,09d321,b94500,5704a3,780383,9d055c,950168,701a73,6f137c,940366,af4e01,af014e,ab0151
1043,177b6c,7c0180,91016b,730d7e,a60058,3d05bc,4e00af,59a400,5b01a1,53ab00,639b00,70008d,660098,946a00,49a510,ca3400,5702a4,750584,a20358,9d035d,7e245b,89195b,a50554,c23a02,d0032a,d50325
1045,0f46a8,5101ab,5a02a2,3404c5,72008c,1000ee,1200eb,20dd00,2102da,24da00,48b600,58079f,62019a,d52900,0fd816,d42a00,6e048c,920764,c0023b,b70344,832952,931754,aa044f,be3e01,b70245,b30248
1047,0008f6,0005f9,0700f7,060ee9,4400ba,0701f6,0004fa,0cf200,0c00f1,0bf300,8c7200,6e2b64,91036a,e31b00,138863,9a6400,6f058a,6b0a89,750286,6f018d,600f8f,5f0797,650197,649900,5300ab,4c00b1
1049,31428b,640396,8c0170,880076,970067,72028a,6d0091,56a700,5f009e,6e9000,6e9000,7.00E+80,7c0082,936b00,5b8d15,b54900,660197,830278,9f005f,9a0162,7c2161,8a185b,a10558,b24a01,be043c,c30437
1051,0e20d0,0001fd,2a00d3,2904d0,92006c,0b13df,0a08eb,08f600,0e00f0,10ee00,3cc200,4c139e,5a02a2,d52900,11c825,cb3300,7b057d,910963,b90242,b20349,8e234d,9d124f,b30447,c43901,bf013d,bc0240
