id,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1039,-65.91,-56.18,-78.34,-8.66,-94.66,-92.15,-92.22,-84.06,188.89,-51.46,-35.12,-47.25,64.66,180.65,71.05,-17.21,5.21,44.17,35.49,13.15,12.52,33.21,52.62,58.3,58.26
1041,-81.62,-63.68,-79.65,-14.66,-86.81,-92.06,-93.62,-88.45,194.14,-64.02,-56.64,-67.12,57.32,169.1,47.6,-29.83,-4.3,25.74,17.44,-1.23,-5.24,17.91,37.8,37.85,35.51
1043,-1.62,15.18,-4.68,30.56,-49.54,-37.79,-29.32,-27.6,134.15,-21.5,-11.37,-19.79,16.66,135.33,59.8,-30.23,-5.9,29.37,25.15,13.63,17.94,31.83,53.35,65.24,69.3
1045,-35.45,-28.41,-56.91,-10.43,-87.34,-85.07,-74.23,-72.29,170.03,-42.41,-27.86,-22.02,67.54,174.67,67.26,-11.71,18.38,51.88,44.87,19.16,24.82,35.98,50.12,44.6,42.05
1047,-95.74,-94.38,-89.4,-45.96,-93.65,-96.74,-90.29,-89.84,190.17,10.1,3.78,15.25,78.24,113.72,22.53,-10.53,-11.7,-6.61,-11.65,-18.66,-22.06,-19.54,-20.68,-34.47,-39.71
1049,-19.74,10.89,6.7,18.56,-9.25,-13.95,-31.75,-24.83,113.11,-13.15,-0.74,-2.26,15.38,119.05,42.87,-19.24,4.56,25.25,21.88,10.54,18.07,28.45,40.6,51.21,54.66
1051,-99.14,-66.43,-65.19,14.96,-83.44,-88.08,-93.28,-88.74,186.38,-52.27,-32.15,-28.12,67.54,161.75,62.04,-0.7,18.04,46.63,40.87,25.18,30.59,42.53,54.34,50.93,48.67
1053,-79.96,-78.01,-75,23.91,-85.48,-91.99,-90.33,-76.9,179.33,-47.96,-36.01,-36.92,48.94,164.86,65.53,-9.17,11.32,38.05,25.44,8.94,5.07,21.03,37.91,28.53,25.5
1055,-36.14,-29.22,-28.24,18.38,-64.44,-64.94,-69.06,-58.1,155.87,-40.54,-26.02,-33.41,18.12,153.88,47.16,-41.08,-12.2,0.44,0.18,-7.28,-3.04,9.29,27.35,38.22,38.3
1057,-18.74,13.66,-16.09,19.7,-46.23,-50.41,-47.54,-28.59,127.31,-21.33,-0.21,-8.35,42.68,161.81,67.06,-30.4,-1.09,29.45,15.24,-2.67,-2.64,19.44,39.07,48.88,53.24
