id,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
5025,-56.44,-23.94,12.48,2.01,-22.68,-24.83,8.30,15.99,43.94,44.95
5027,-4.68,8.17,27.67,21.47,-10.64,-15.07,10.91,16.36,24.14,23.62
5029,-49.44,-6.02,14.79,-0.83,-25.69,-24.00,0.68,0.33,18.95,19.52
5031,-38.03,8.29,26.91,12.97,-18.86,-16.57,-0.87,7.22,24.50,30.99
5033,-11.04,35.62,51.02,42.94,1.40,2.74,25.62,32.48,46.03,49.85
5035,-22.63,-5.60,1.03,5.14,-22.05,-26.29,-10.33,-8.80,-14.68,-14.89
5037,-37.30,-8.87,18.33,3.17,-25.12,-26.48,-1.01,10.31,25.43,29.79
5039,-52.59,-27.36,7.29,-1.09,-16.54,-31.35,-4.18,0.86,8.62,10.64
5041,-51.00,-28.01,-3.78,-9.66,-45.12,-49.46,-26.10,-24.14,-12.18,-12.38
5043,-36.86,-24.01,12.66,7.42,-28.74,-33.71,-5.13,4.96,19.09,18.95
5045,-49.01,-5.76,23.24,18.47,-13.92,-7.69,14.05,19.02,25.27,31.60
5047,-30.48,11.39,28.98,18.56,-10.72,-16.53,9.82,16.09,39.26,44.42
5049,-43.93,1.50,11.01,-2.53,-33.13,-23.92,1.46,3.07,18.88,33.10
5051,-20.30,10.85,28.65,24.89,-16.46,-15.33,9.07,9.20,24.99,29.98
5053,-56.77,-20.30,19.04,11.73,-14.81,-18.48,12.47,24.83,50.95,51.88
5055,-47.14,-13.67,13.17,0.93,-32.71,-24.92,-3.91,4.82,29.66,36.85
5057,-30.74,-9.49,19.07,1.24,-34.62,-39.23,-9.33,-3.18,19.10,26.24
5059,-56.24,-30.84,-1.79,-9.67,-30.82,-30.90,-4.42,0.49,24.43,29.01
5061,-34.13,-3.52,27.59,15.96,-20.82,-27.27,5.90,11.53,24.99,31.85
5063,-42.39,-5.46,25.30,18.86,-22.20,-19.08,8.62,15.27,37.13,43.94
5065,-40.96,-9.21,7.40,3.12,-33.77,-22.30,-5.68,4.50,26.85,38.86
5067,-56.72,-18.07,-1.72,-15.81,-40.94,-42.75,-22.58,-14.33,16.32,18.27
5069,-44.66,-21.95,-10.84,-13.93,-45.10,-48.31,-32.91,-31.01,-26.31,-29.03
5071,-39.78,-1.18,21.26,17.69,-18.32,-17.83,5.40,8.57,23.08,27.97
5073,-22.97,-5.06,14.85,-1.45,-27.27,-38.88,-7.92,1.16,19.02,18.44
5075,-50.26,-4.34,21.64,0.40,-29.18,-29.78,-10.41,-8.96,20.91,31.55
5077,-37.50,-28.55,-9.33,-21.09,-42.30,-49.51,-33.39,-25.88,-21.50,-24.15
5079,-62.66,-33.10,-12.78,-17.05,-38.26,-43.89,-12.15,-5.55,18.23,20.77
5081,-37.42,-7.15,20.11,-7.68,-32.25,-34.70,-11.40,-1.93,29.00,36.29
5083,-28.98,4.63,27.39,27.08,-6.76,-10.82,14.87,20.06,38.75,41.88
5085,-50.87,0.12,28.83,20.09,-10.81,-10.18,20.93,31.52,47.49,50.82
5087,-7.81,12.78,24.25,18.40,-3.35,-3.75,23.67,22.74,28.89,32.95
5089,-18.59,18.91,28.96,18.54,-11.75,-6.91,19.43,22.21,29.88,38.82
5091,-17.35,5.99,27.63,13.25,-12.15,-12.75,7.26,15.73,33.49,39.82
5093,-26.23,-10.59,14.81,7.27,-33.51,-32.83,-15.16,-10.40,2.21,1.02
5095,-46.84,-13.65,1.91,-4.78,-29.35,-36.84,-17.64,-12.63,4.03,0.06
5097,-44.74,-8.11,19.27,12.46,-18.83,-20.03,18.45,21.30,35.15,42.57
