id,1976,1980,1984,1988,1992
6105,-4.20,23.69,22.34,12.53,-2.07
6107,10.80,22.81,28.77,20.57,10.50
6109,-2.98,20.92,17.74,9.78,-2.86
6111,9.10,30.75,38.48,24.44,-1.53
6113,-11.91,-3.87,-3.05,-15.12,-25.18
6115,-7.77,21.59,28.84,23.99,9.16
8001,-6.60,13.60,21.64,-6.70,-14.07
8003,11.26,16.16,26.17,8.81,-7.71
8005,29.61,38.64,45.24,21.86,3.05
8007,9.50,37.89,44.98,28.51,15.02
8009,5.54,53.79,52.73,32.04,19.60
8011,-4.52,13.39,20.69,-2.58,-10.01
8013,11.75,14.10,11.66,-8.48,-24.46
8014,,,,,
8015,16.68,31.84,34.25,9.31,2.15
8017,-1.18,39.87,48.03,30.44,25.91
8019,15.29,29.85,32.26,3.36,-8.70
8021,-8.52,2.91,3.57,-15.40,-15.73
8023,-44.09,-34.55,-23.05,-42.13,-46.43
8025,10.99,30.82,31.17,15.47,2.19
8027,29.48,43.86,54.07,40.87,20.58
8029,20.64,41.52,39.87,21.08,8.91
8031,-2.76,1.19,-2.32,-23.60,-30.54
8033,-4.12,56.06,58.12,35.25,3.55
8035,33.80,51.90,59.83,41.49,18.13
8037,31.64,24.98,37.21,13.47,-0.45
8039,8.70,45.13,52.09,27.86,12.65
8041,20.92,37.25,51.11,41.14,24.06
8043,7.07,26.50,35.53,17.92,4.00
8045,23.48,29.78,39.23,15.64,-4.82
8047,-10.23,18.24,16.68,-4.78,-10.29
8049,28.76,37.72,46.90,22.28,1.73
8051,31.76,29.36,36.40,13.77,-12.47
8053,37.32,46.43,51.21,45.21,7.77
8055,-23.70,-10.42,-0.65,-26.83,-23.30
8057,23.53,36.83,57.53,32.55,9.94
8059,23.81,34.12,39.19,14.76,0.84
8061,6.07,36.50,51.77,23.46,17.67
8063,6.67,50.15,55.36,30.35,23.95
8065,0.79,5.36,1.46,-21.51,-19.26
8067,22.61,34.89,36.22,17.00,-2.50
8069,24.85,29.89,34.72,12.36,-2.24
8071,-25.70,-16.20,-10.06,-30.22,-32.09
8073,9.09,39.35,47.15,21.43,19.04
8075,8.93,35.04,45.84,13.83,8.41
8077,33.29,45.99,40.49,20.93,6.82
8079,16.08,32.44,47.06,10.91,-2.67
8081,17.19,45.99,48.22,24.85,1.30
8083,19.49,44.17,47.46,30.15,11.18
8085,20.21,45.44,42.25,22.66,9.67
8087,9.33,35.55,44.02,12.29,8.28
8089,5.37,17.12,27.49,4.28,-4.39
8091,30.23,47.96,42.48,29.43,11.81
8093,15.65,34.70,43.38,16.86,3.13
8095,-1.31,36.02,43.85,17.30,16.63
8097,13.81,7.25,14.91,-9.79,-25.61
8099,-5.06,27.74,39.92,14.59,11.18
8101,-16.22,-2.38,-4.77,-23.76,-25.06
8103,37.94,57.01,62.46,38.24,15.33
8105,27.35,32.84,47.35,25.53,8.52
