id,1948,1968
13195,0a26cd,28ab2a
13197,156485,25a831
13199,1519d0,347852
13201,091fd6,1bd013
13205,1238b3,21a538
13207,1e429e,3c7051
13209,114f9d,279f38
13211,141ad0,347753
13213,4010ad,547436
13215,3d2e93,527437
13217,180ed7,3f734c
13219,19479d,478d29
13221,0e36ba,25aa2f
13223,3a18ab,319a33
13225,235289,3b6a58
13227,751574,715f2e
13229,125398,2da928
13231,264d8a,249842
13233,2114c8,378740
13235,1434b6,389530
13237,2028b5,376d5a
13239,0d43ad,1e9c43
13241,2b0ec4,408538
13243,234497,2b7b58
13245,1eb030,694252
13247,1519d0,417a42
13249,1d33ae,269048
13251,1c548d,387056
13253,1d14cc,14c425
13255,1b25bd,477344
13257,3519af,408b33
13259,137377,238f4b
13261,1e6779,358741
13263,1c2bb6,357355
13265,081fd6,295b79
13267,1d4e92,29a62e
13269,165493,249941
13271,104ca1,2b953e
13273,1a41a3,267e61
13275,405b63,3a8142
13277,222ead,3f932c
13279,185392,3e9828
13281,5d019f,853444
13283,09589c,3f912d
13285,1a24c0,42803b
13287,2031ac,27af27
13289,107e70,258059
13291,740782,644a50
13293,1619cf,398b39
13295,3319b2,419b22
13297,0e17d8,329338
13299,234b8f,339338
13301,0aa450,3a6f54
13303,2501d8,436d4d
13305,1b29b9,3a982b
13307,405f5f,19b034
13309,0b52a1,268e4a
13311,171dc9,527d2f
13313,3b22a1,6a573c
13315,1138b4,24ae2c
13317,1348a2,3e7b44
13319,167474,338c3e
13321,1525c4,23b129
15001,000000,5f009c
15003,000000,630097
15005,000000,0
15007,000000,5d009e
15009,000000,60009b
16001,8e046b,a0203d
16003,780481,962840
16005,5b049e,7a186c
16007,7b0281,990e59
16009,600994,711874
16011,7d037e,991e48
16013,6f048b,892253
16015,760681,8d3040
16017,730c7e,741c6e
16019,720389,a41b3e
16021,6e137d,782462
16023,7c0280,811b61
16025,80037b,8f313e
16027,860a6d,a0213c
16029,7a0282,9e1d42
16031,840376,a32634
16033,9a0261,a91e36
16035,520f9d,5e1987
16037,7c047e,7f3a45
16039,5706a1,812a53
16041,870175,a81e37
16043,760186,952b3e
16045,750880,931f4b
16047,860375,8d333d
16049,6c078b,782561
16051,6a0490,9c2f33
16053,7e037d,9a2e36
16055,691183,7a196b
16057,7a087b,831169
16059,880471,923536
16061,4607b1,621983
16063,860275,a02439
16065,70018d,ac1d34
16067,7a087b,8f333c
16069,560b9d,651583
16071,7b0181,a80f46
16073,7f0579,98293d
16075,970561,9c243e
16077,840178,991c49
16079,62128a,671681
16081,760186,931b50
16083,8e036d,a02637
16085,820a72,932744
16087,7d047c,93204b
17001,7c0181,8a185b
17003,7d027f,5d356b
17005,87086f,861b5c
17007,b60047,9e144a
17009,750187,831365
17011,a1015c,980f55
17013,850178,7d156b
17015,a50157,a20d4e
17017,770185,790f75
17019,9b055d,881460
17021,71018b,6b1879
17023,890372,8f1c53
17025,870571,8d155b
17027,83017a,89185d
17029,80007d,86195e
17031,73018a,681480
17033,8b0271,941555
17035,81017c,87195c
17037,af014e,a10d4d
17039,8d016f,8a185b
17041,950167,971354
17043,bb033f,a91241
17045,8b0171,8f1d51
17047,a80451,a21843
17049,7c027f,8e105f
17051,7d027e,851762
17053,b2014b,a61146
17055,6f038b,6d177a
