id,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1077,2125af,2c07cb,4c04ae,4207b5,5600a8,1d01e0,1302e9,1701e6,2001dd,24da00,3500c8,3501c7,4a01b2,798500,27b51d,b60740,4f04ab,610d8f,880372,7e037d,671e78,751772,8a066e,980264,a10459,a40456
1079,2c3a90,0900db,760285,5102ab,7d0081,2200dc,2a00d3,2c01d1,3a00c3,32cc00,3b00c3,4801b4,5000ad,7f7f00,13d316,c0003d,2b01d1,4705b2,770482,6d048c,4e238c,611984,760483,8c0270,a10459,9f035b
1081,0808e2,0706f1,1400da,1013da,690095,0c01f1,0a00f3,0900f4,0f00ee,20de00,5d00a1,5008a6,60019d,c83600,2d9536,bf043b,860572,7f106f,a30358,a40456,792062,8a1163,950861,9f025c,970264,960464
1083,1211d3,0e05ea,2202da,150ade,3100cd,0900f4,0901f4,0700f6,0b00f2,0ef000,1f00de,1f00de,3100cd,708e00,15cf15,ba053e,3f04bb,570c9b,990362,9c035e,742a5f,851563,990461,ac0250,b30348,b50246
1085,0007f7,0005f9,0002fc,000af4,3300cb,0004fa,0002fc,0002fc,0005f9,00fe00,6f008e,453385,5802a3,d42a00,128e60,6c068c,4b05ae,4802ab,4f02ad,4b02b1,410ead,4004ba,4201ba,4b00b3,3f00be,3b00c2
1087,0808ed,1101ec,1500e8,1401e8,650098,0e00ef,0800f6,0800f6,1200ec,17e700,4c00b2,7c0b77,640297,629c00,0a40b1,5405a5,2f05ca,2403cc,2902d2,2a03d0,2008d3,1e06da,1f02dd,2a00d3,2000dd,2000dd
1089,0d21c7,1605e3,2502d7,2405d5,7f007f,1a02e2,1501e8,1700e6,1500e8,21dd00,2902d3,3e02be,5201aa,847a00,409227,bb043f,5d039d,770f77,a40257,ab0152,79285c,7f146a,8b066c,960266,91036a,950465
1091,0005f9,0003fb,0700f7,0004fa,4800b6,0500f3,0003fb,0700f7,0c01f1,08f600,6e0090,540f9b,700a83,d12d00,0c9060,a50455,6f0589,6a0488,830378,7b0280,65147f,6e0a86,7c0280,81007c,7a0083,750088
1093,3920a5,60019d,6d0090,0002fc,7d0081,2f03cb,4003bb,4805b1,660097,53ab00,5700a7,770186,7b0082,b14d00,2dc20b,d90124,5300ab,7b0281,a1005d,90006d,6d1a76,6f1876,950563,b1014b,c40435,cb032f
1095,236378,5f039c,7c0181,620497,84007a,2f05c9,2d00d0,2d01cf,4300bb,41bd00,4100bd,5202a9,5600a8,8f6f00,29c20e,bd033d,4c05ad,680b8a,9a0460,9b055e,742463,86185f,9b045e,b80244,c50336,ca0331
