48309,44.57%, 27.68%, 72.25%,-
48311,20.77%, 39.50%, 60.27%,-
48313,33.62%, 33.11%, 66.74%,-
48315,19.32%, 40.25%, 59.57%,-
48317,37.78%, 30.99%, 68.77%,-
48319,22.87%, 38.44%, 61.30%,-
48321,26.48%, 36.72%, 63.20%,-
48323,58.93%, 20.48%, 79.41%,-
48325,36.56%, 31.71%, 68.27%,-
48327,19.39%, 40.30%, 59.70%,-
48329,15.82%, 57.78%, 41.96%,-
48331,53.14%, 23.37%, 76.51%,-
48333,42.54%, 28.73%, 71.27%,-
48335,53.28%, 23.33%, 76.61%,-
48337,54.37%, 22.78%, 77.14%,-
48339,22.23%, 38.64%, 60.87%,-
48341,15.17%, 42.37%, 57.54%,-
48343,31.94%, 33.89%, 65.83%,-
48345,35.26%, 32.27%, 67.53%,-
48347,20.59%, 39.58%, 60.17%,-
48349,52.18%, 23.89%, 76.08%,-
48351,49.85%, 24.97%, 74.82%,-
48353,37.39%, 31.19%, 68.58%,-
48355,48.35%, 25.75%, 74.10%,-
48357,32.66%, 66.28%, 33.61%,-
48359,19.10%, 40.15%, 59.25%,-
48361,20.29%, 39.73%, 60.02%,-
48363,36.87%, 31.55%, 68.42%,-
48365,3.86%, 51.83%, 47.97%,-
48367,41.50%, 29.16%, 70.66%,-
48369,12.23%, 43.76%, 55.99%,-
48371,19.44%, 40.11%, 59.55%,-
48373,34.95%, 32.41%, 67.35%,-
48375,5.51%, 47.11%, 52.62%,-
48377,45.65%, 27.14%, 72.80%,-
48379,53.17%, 23.29%, 76.46%,-
48381,13.16%, 56.50%, 43.34%,-
48383,20.35%, 39.73%, 60.08%,-
48385,31.22%, 34.32%, 65.55%,-
48387,45.85%, 27.01%, 72.86%,-
48389,30.29%, 34.80%, 65.09%,-
48391,50.05%, 24.98%, 75.02%,-
48393,20.00%, 60.00%, 40.00%,-
48395,57.81%, 21.07%, 78.88%,-
48397,49.00%, 25.36%, 74.36%,-
48399,28.19%, 35.82%, 64.01%,-
48401,8.64%, 45.61%, 54.25%,-
48403,61.57%, 19.19%, 80.76%,-
48405,21.29%, 39.18%, 60.46%,-
48407,65.99%, 16.93%, 82.92%,-
48409,53.15%, 23.32%, 76.47%,-
48411,63.29%, 18.36%, 81.64%,-
48413,13.95%, 42.97%, 56.92%,-
48415,31.93%, 33.89%, 65.82%,-
48417,31.39%, 34.20%, 65.59%,-
48419,22.19%, 38.87%, 61.06%,-
48421,15.29%, 57.60%, 42.31%,-
48423,1.91%, 50.88%, 48.97%,-
48425,50.47%, 24.59%, 75.06%,-
48427,71.24%, 14.30%, 85.53%,-
48429,22.06%, 38.94%, 61.00%,-
48431,26.82%, 36.46%, 63.28%,-
48433,63.30%, 18.27%, 81.57%,-
48435,32.06%, 33.97%, 66.03%,-
48437,49.38%, 25.23%, 74.61%,-
48439,26.27%, 36.71%, 62.98%,-
48441,18.33%, 40.76%, 59.09%,-
48443,10.64%, 44.68%, 55.32%,-
48445,31.13%, 34.37%, 65.50%,-
48447,56.28%, 21.86%, 78.14%,-
48449,35.27%, 32.32%, 67.60%,-
48451,18.87%, 40.53%, 59.40%,-
48453,37.87%, 31.02%, 68.89%,-
48455,36.70%, 31.43%, 68.12%,-
48457,19.82%, 40.04%, 59.86%,-
48459,28.82%, 35.48%, 64.31%,-
48461,20.07%, 39.65%, 59.73%,-
48463,9.13%, 45.38%, 54.51%,-
48465,45.06%, 27.46%, 72.52%,-
48467,42.86%, 28.44%, 71.30%,-
48469,31.86%, 33.97%, 65.83%,-
48471,29.76%, 35.10%, 64.86%,-
48473,37.69%, 31.12%, 68.82%,-
48475,12.42%, 43.75%, 56.17%,-
48477,18.52%, 40.69%, 59.21%,-
48479,80.30%, 9.78%, 90.08%,-
48481,38.35%, 30.76%, 69.11%,-
48483,11.71%, 44.11%, 55.81%,-
48485,38.03%, 30.96%, 68.99%,-
48487,35.03%, 32.45%, 67.48%,-
48489,27.21%, 36.30%, 63.52%,-
48491,61.55%, 19.19%, 80.74%,-
48493,65.65%, 17.12%, 82.77%,-
48495,12.01%, 43.95%, 55.97%,-
48497,47.05%, 26.45%, 73.50%,-
48499,26.04%, 36.89%, 62.93%,-
48501,24.39%, 37.68%, 62.06%,-
48503,35.93%, 32.03%, 67.95%,-
48505,76.20%, 11.77%, 87.97%,-
48507,49.73%, 25.07%, 74.80%,-
