statecounty,margin,coolidge,davis,other,lafollette
06041,14.35%, 53.52%, 6.07%, 1.24%, 39.17%
06043,1.40%, 40.23%, 19.65%, 1.29%, 38.83%
06045,26.32%, 56.46%, 12.04%, 1.35%, 30.15%
06047,18.85%, 52.94%, 10.52%,-, 34.09%
06049,11.00%, 43.72%, 22.37%, 1.20%, 32.72%
06051,21.94%, 53.55%, 14.52%, 0.32%, 31.61%
06053,34.87%, 61.07%, 11.41%, 1.33%, 26.20%
06055,20.80%, 54.82%, 10.19%, 0.97%, 34.02%
06057,4.72%, 42.23%, 8.57%,-, 46.94%
06059,45.43%, 67.35%, 8.68%,-, 21.92%
06061,18.35%, 36.63%, 6.52%, 1.87%, 54.98%
06063,22.88%, 32.92%, 10.62%, 0.64%, 55.81%
06065,34.90%, 61.99%, 8.49%,-, 27.09%
06067,9.72%, 41.08%, 7.01%, 1.11%, 50.80%
06069,21.74%, 53.54%, 13.40%, 1.26%, 31.80%
06071,25.85%, 56.93%, 9.39%,-, 31.08%
06073,5.45%, 48.99%, 6.35%, 1.12%, 43.54%
06075,3.01%, 47.75%, 6.37%, 1.14%, 44.74%
06077,9.60%, 48.91%, 10.60%, 1.19%, 39.30%
06079,9.57%, 49.01%, 9.42%,-, 39.44%
06081,16.54%, 55.27%, 5.24%, 0.75%, 38.73%
06083,39.97%, 64.69%, 9.33%, 1.27%, 24.72%
06085,24.83%, 58.02%, 7.41%, 1.38%, 33.19%
06087,32.04%, 60.84%, 9.02%, 1.34%, 28.80%
06089,2.11%, 41.95%, 12.86%, 1.14%, 44.06%
06091,10.44%, 38.93%, 10.30%, 1.41%, 49.37%
06093,6.78%, 40.58%, 9.73%,-, 47.36%
06095,6.62%, 48.00%, 9.61%, 1.00%, 41.39%
06097,23.88%, 56.00%, 10.38%, 1.51%, 32.12%
06099,25.87%, 56.86%, 9.57%,-, 30.99%
06101,12.29%, 49.92%, 11.33%, 1.11%, 37.64%
06103,6.53%, 45.97%, 11.50%,-, 39.44%
06105,8.47%, 36.48%, 16.72%, 1.85%, 44.95%
06107,21.31%, 50.79%, 18.34%, 1.40%, 29.47%
06109,1.34%, 43.03%, 11.94%, 0.67%, 44.37%
06111,41.99%, 65.16%, 10.41%, 1.26%, 23.18%
06113,6.85%, 45.35%, 14.63%, 1.52%, 38.50%
06115,7.43%, 45.88%, 11.26%, 1.19%, 38.45%
08001,33.10%, 56.33%, 23.24%, 0.71%, 19.72%
08003,6.76%, 40.59%, 25.14%, 0.44%, 33.83%
08005,46.03%, 64.23%, 18.20%, 0.39%, 17.18%
08007,12.91%, 43.12%, 25.72%, 0.96%, 30.21%
08009,20.53%, 46.35%, 25.78%, 2.05%, 25.82%
08011,25.33%, 54.14%, 28.81%, 0.50%, 16.55%
08013,33.43%, 58.75%, 25.32%, 0.40%, 15.53%
08014,0%,-,-,-,-
08015,7.15%, 43.40%, 19.88%, 0.45%, 36.26%
08017,27.05%, 55.70%, 15.02%, 0.64%, 28.64%
08019,37.53%, 61.87%, 24.34%, 0.34%, 13.45%
08021,18.28%, 56.17%, 37.89%, 0.15%, 5.79%
