06025,3.71%,-, 38.46%, 0.39%, 42.17%, 5.73%
06027,23.05%,-, 49.54%, 0.49%, 26.49%, 4.73%
06029,17.85%,-, 51.73%, 2.31%, 33.88%,-
06031,13.88%,-, 49.82%,-, 35.94%, 3.95%
06033,21.75%,-, 51.86%,-, 30.10%, 5.71%
06035,6.02%,-, 45.61%, 1.91%, 39.59%, 2.41%
06037,12.39%,-, 33.34%, 1.32%, 45.73%, 4.95%
06039,8.72%,-, 47.71%, 0.29%, 38.98%, 3.68%
06041,1.55%,-, 44.52%, 1.06%, 42.97%,-
06043,32.74%,-, 58.89%, 3.16%, 26.15%,-
06045,4.78%,-, 44.39%, 0.19%, 39.61%, 2.50%
06047,9.63%,-, 46.78%, 0.24%, 37.16%, 5.39%
06049,19.43%,-, 54.90%, 0.06%, 35.47%, 2.63%
06051,20.60%,-, 49.32%, 0.81%, 28.73%, 2.98%
06053,4.24%,-, 46.26%, 0.01%, 42.02%, 4.11%
06055,4.02%,-, 46.55%, 0.37%, 42.52%, 2.20%
06057,11.71%,-, 46.11%, 0.57%, 34.40%, 2.77%
06059,6.45%,-, 38.58%, 1.09%, 45.03%, 7.46%
06061,2.07%,-, 41.84%, 0.34%, 43.91%, 2.87%
06063,1.12%,-, 41.66%, 2.30%, 42.78%,-
06065,21.61%,-, 29.33%, 1.23%, 50.94%, 8.25%
06067,12.16%,-, 51.39%, 1.30%, 39.23%,-
06069,7.73%,-, 48.70%, 0.51%, 40.96%, 2.88%
06071,2.39%,-, 38.03%, 1.12%, 40.42%, 8.04%
06073,8.33%,-, 44.79%, 0.29%, 36.46%, 5.24%
06075,10.23%,-, 48.40%, 1.22%, 38.17%,-
06077,26.60%,-, 58.00%, 0.25%, 31.40%, 3.10%
06079,2.25%,-, 40.48%, 0.25%, 42.73%, 3.85%
06081,6.03%,-, 46.47%, 1.25%, 40.44%,-
06083,7.94%,-, 38.84%, 0.94%, 46.78%, 4.92%
06085,7.33%,-, 39.64%, 0.89%, 46.97%, 3.56%
06087,2.57%,-, 40.20%, 0.04%, 42.77%, 4.52%
06089,8.63%,-, 43.55%, 1.49%, 34.93%,-
06091,2.76%,-, 44.47%, 2.33%, 41.71%,-
06093,14.58%,-, 49.57%, 0.62%, 34.99%, 2.09%
06095,3.72%,-, 45.66%, 0.50%, 41.95%, 2.11%
06097,4.89%,-, 45.78%, 0.23%, 40.89%, 2.58%
06099,0.20%,-, 39.58%, 0.22%, 39.78%, 10.94%
06101,10.54%,-, 51.65%, 0.24%, 41.11%, 3.16%
06103,11.15%,-, 47.16%, 0.38%, 36.01%, 4.97%
06105,11.85%,-, 46.29%, 1.00%, 34.44%,-
06107,0.10%,-, 42.31%, 0.72%, 42.21%, 2.61%
06109,26.82%,-, 55.58%, 1.83%, 28.76%,-
06111,1.10%,-, 43.62%, 1.55%, 42.52%, 3.50%
06113,22.71%,-, 56.06%, 0.23%, 33.35%, 2.83%
06115,4.21%,-, 47.57%, 1.95%, 43.36%,-
08001,13.11%, 14.10%, 46.48%, 1.20%, 33.37%,-
08003,0%,-,-,-,-,-
08005,0.92%, 20.15%, 36.33%, 1.08%, 35.41%,-
08007,11.66%, 33.56%, 45.21%, 1.19%, 17.37%,-
08009,9.95%, 28.24%, 38.19%, 0.09%, 21.40%, 2.22%
08011,2.59%, 21.76%, 37.82%, 2.28%, 35.23%, 2.90%
08013,17.52%, 23.02%, 40.77%, 0.05%, 23.25%, 4.27%
08014,0%,-,-,-,-,-
08015,27.04%, 21.30%, 48.34%, 1.65%, 20.41%,-
08017,6.93%, 17.66%, 37.78%, 0.07%, 30.85%, 2.61%
08019,35.42%, 23.83%, 59.25%, 1.27%, 12.35%,-
08021,12.12%, 34.36%, 46.48%, 1.17%, 13.12%,-
08023,25.94%, 55.06%, 29.12%, 1.69%, 10.48%,-
08025,15.30%, 28.35%, 43.66%, 0.06%, 21.62%, 2.67%
08027,16.43%, 34.98%, 51.41%, 2.62%, 10.99%,-
08029,4.97%, 16.28%, 36.67%, 0.06%, 31.70%, 3.93%
08031,8.39%, 13.59%, 44.47%, 1.27%, 36.09%,-
08033,34.20%, 19.48%, 53.68%,-, 12.12%,-
08035,18.61%, 28.21%, 46.82%, 0.76%, 21.94%,-
08037,22.70%, 25.83%, 48.53%, 0.60%, 15.62%,-
08039,6.20%, 24.22%, 36.96%, 0.15%, 30.76%, 2.00%
08041,1.51%, 18.72%, 36.95%, 0.11%, 35.44%, 2.62%
08043,18.60%, 20.88%, 43.80%, 0.16%, 25.20%, 2.58%
08045,23.71%, 21.10%, 46.25%, 2.00%, 22.54%,-
08047,29.36%, 26.65%, 56.02%, 0.72%, 13.36%,-
08049,26.92%, 25.78%, 52.70%, 3.01%, 18.50%,-
08051,28.38%, 24.03%, 52.41%, 1.26%, 15.51%,-
08053,5.97%, 38.64%, 44.60%,-, 7.67%,-
08055,34.59%, 63.32%, 28.74%, 2.09%, 5.85%,-
08057,4.71%, 42.75%, 47.45%, 3.14%, 6.67%,-
08059,12.30%, 18.87%, 43.10%, 1.49%, 30.80%,-
08061,10.60%, 18.32%, 42.82%,-, 32.21%, 2.48%
08063,0.48%, 25.08%, 31.69%, 0.04%, 31.20%, 2.16%
08065,22.95%, 22.92%, 45.87%, 0.57%, 20.50%,-
08067,30.42%, 19.44%, 49.86%, 0.08%, 18.17%, 2.05%
08069,9.29%, 26.98%, 36.27%, 0.34%, 23.20%, 5.60%
08071,7.25%, 43.82%, 36.57%, 0.86%, 14.83%,-
08073,0.04%, 23.41%, 34.90%, 0.44%, 34.85%, 3.07%
08075,7.54%, 20.18%, 40.66%, 0.03%, 33.12%, 2.22%
08077,0.13%, 12.47%, 34.93%, 0.14%, 34.80%, 3.20%
08079,15.55%, 28.93%, 44.48%, 0.93%, 10.58%,-
08081,12.26%, 31.34%, 43.60%, 1.81%, 19.83%,-
08083,37.07%, 15.89%, 56.69%, 1.11%, 19.62%,-
08085,12.15%, 16.82%, 39.39%, 0.08%, 27.24%, 4.98%
08087,2.27%, 28.16%, 33.10%, 0.13%, 30.83%, 3.59%
08089,21.14%, 20.98%, 46.80%, 0.08%, 25.67%, 2.50%
08091,28.10%, 18.62%, 48.43%, 0.68%, 20.33%,-
08093,24.06%, 29.87%, 53.92%, 0.31%, 11.21%,-
08095,4.63%, 22.37%, 37.68%,-, 33.05%, 3.03%
08097,41.97%, 15.53%, 57.51%, 1.12%, 13.14%,-
08099,1.22%, 29.05%, 32.62%, 0.03%, 31.40%, 2.13%
08101,24.62%, 19.64%, 49.20%, 1.93%, 24.58%,-
08103,14.83%, 33.24%, 48.08%, 2.14%, 16.53%,-
08105,21.05%, 24.98%, 46.03%, 0.04%, 22.37%, 2.36%
08107,23.71%, 26.11%, 49.82%, 1.27%, 13.98%,-
08109,6.43%, 36.37%, 42.80%, 0.40%, 13.60%,-
08111,31.55%, 22.49%, 54.04%, 0.39%, 8.67%,-
08113,18.53%, 30.36%, 48.88%, 0.90%, 14.25%,-
08115,4.89%, 29.68%, 30.59%, 1.72%, 35.48%,-
08117,43.63%, 18.55%, 62.18%, 0.41%, 15.75%,-
08119,27.92%, 11.64%, 52.11%, 0.46%, 24.19%,-
08121,2.34%, 18.34%, 38.87%, 2.64%, 36.53%,-
08123,14.07%, 27.39%, 41.46%, 0.02%, 23.57%, 3.83%
08125,1.49%, 14.42%, 36.20%, 1.83%, 37.69%,-
09001,6.03%, 31.53%, 37.56%, 1.58%, 23.63%,-
09003,0.47%, 39.09%, 38.62%, 1.68%, 15.82%,-
09005,6.52%, 42.00%, 35.48%, 1.34%, 18.47%,-
09007,6.14%, 35.43%, 41.57%, 1.02%, 19.64%,-
09009,5.65%, 34.15%, 39.80%, 1.98%, 16.58%,-
09011,8.87%, 35.13%, 44.00%, 2.10%, 16.13%,-
09013,2.59%, 42.66%, 40.06%, 2.26%, 8.64%,-
09015,2.33%, 41.82%, 39.49%, 3.43%, 15.26%,-
10001,11.08%, 40.22%, 51.30%, 1.34%, 7.14%,-
10003,15.89%, 28.38%, 44.27%, 3.22%, 24.13%,-
10005,9.54%, 39.26%, 48.80%, 1.13%, 10.81%,-
11001,0%,-,-,-,-,-
12001,62.56%, 12.77%, 75.33%,-, 4.33%, 4.33%
12003,22.66%, 11.18%, 50.76%, 0.60%, 28.10%,-
12005,0%,-,-,-,-,-
12007,65.46%, 11.09%, 76.55%, 1.17%, 4.67%, 6.53%
12009,46.61%, 10.34%, 60.51%, 1.36%, 13.90%,-
12011,0%,-,-,-,-,-
12013,27.27%, 10.15%, 50.30%,-, 8.94%, 7.58%
12015,0%,-,-,-,-,-
12017,74.16%, 2.19%, 82.90%, 1.99%, 8.75%,-
12019,57.69%, 6.67%, 71.54%,-, 5.38%, 2.56%
12021,0%,-,-,-,-,-
12023,67.76%, 9.85%, 77.61%, 1.64%, 7.46%,-
12027,56.55%, 8.74%, 67.28%,-, 6.20%, 7.07%
12029,0%,-,-,-,-,-
12031,64.87%, 5.20%, 75.26%, 1.65%, 10.39%,-
12033,67.33%, 3.48%, 77.11%, 1.98%, 9.78%,-
12035,0%,-,-,-,-,-
12037,53.33%, 14.87%, 68.21%, 1.28%, 5.90%,-
12039,69.26%, 9.73%, 78.99%, 0.26%, 7.00%,-
12041,0%,-,-,-,-,-
12043,0%,-,-,-,-,-
12045,0%,-,-,-,-,-
12047,61.94%, 8.26%, 72.71%,-, 4.31%, 3.95%
12049,0%,-,-,-,-,-
12051,0%,-,-,-,-,-
12053,60.05%, 4.70%, 71.02%,-, 5.74%, 7.57%
12055,0%,-,-,-,-,-
12057,50.42%, 4.07%, 67.63%,-, 6.89%, 4.20%
12059,44.79%, 7.74%, 61.16%,-, 16.37%, 2.98%
12061,0%,-,-,-,-,-
12063,61.40%, 9.61%, 71.01%,-, 4.01%, 6.78%
12065,74.10%, 8.45%, 82.55%, 1.98%, 7.01%,-
12067,64.94%, 11.85%, 76.79%, 3.08%,-, 8.28%
12069,62.15%, 11.34%, 73.49%,-, 7.77%, 2.59%
12071,44.26%, 5.32%, 60.50%,-, 13.59%, 4.34%
12073,73.57%, 8.41%, 81.98%, 0.45%, 6.91%,-
12075,56.58%, 13.91%, 70.49%,-, 4.51%, 5.45%
12077,65.66%, 12.08%, 77.74%, 0.75%, 6.79%,-
12079,82.12%, 2.92%, 87.59%, 0.55%, 5.47%,-
12081,58.30%, 5.31%, 68.73%,-, 10.42%, 6.08%
12083,59.87%, 10.87%, 70.73%,-, 7.10%, 3.76%
12085,0%,-,-,-,-,-
12086,49.38%, 5.56%, 65.71%, 1.85%, 16.33%,-
12087,33.17%, 22.55%, 55.72%, 1.42%, 8.28%,-
12089,75.75%, 7.14%, 82.89%, 0.94%, 3.20%,-
12091,0%,-,-,-,-,-
12093,0%,-,-,-,-,-
12095,55.78%, 12.37%, 68.15%,-, 7.27%, 5.48%
12097,39.71%, 12.37%, 57.59%,-, 17.89%, 4.95%
12099,43.03%, 4.28%, 63.17%, 1.79%, 20.14%,-
12101,57.16%, 8.34%, 67.45%,-, 10.29%, 5.01%
12103,42.52%, 6.14%, 60.16%,-, 17.63%, 2.75%
12105,57.75%, 4.98%, 71.43%,-, 6.63%, 3.29%
12107,46.42%, 19.51%, 65.93%,-, 4.51%, 4.34%
12109,61.54%, 3.93%, 73.08%, 1.31%, 11.54%,-
12111,56.92%, 8.89%, 69.57%, 1.78%, 7.11%,-
12113,55.66%, 7.84%, 66.29%,-, 5.38%, 10.64%
12115,0%,-,-,-,-,-
12117,0%,-,-,-,-,-
12119,62.01%, 3.94%, 74.73%,-, 12.72%, 5.20%
12121,48.73%, 5.26%, 69.59%, 1.46%, 2.83%,-
12123,49.59%, 15.43%, 65.01%,-, 5.23%, 11.85%
12125,0%,-,-,-,-,-
12127,55.87%, 11.60%, 67.48%,-, 5.16%, 8.74%
12129,68.10%, 8.96%, 77.06%, 0.72%, 5.38%,-
12131,29.92%, 7.01%, 57.95%, 0.47%, 28.03%,-
12133,47.12%, 7.61%, 64.38%,-, 6.31%, 4.45%
13001,35.23%, 15.03%, 60.10%,-, 24.87%,-
13003,0%,-,-,-,-,-
13005,0%,-,-,-,-,-
13007,94.68%,-, 97.34%,-, 2.66%,-
13009,82.95%, 3.47%, 89.74%,-, 6.79%,-
13011,22.22%, 4.00%, 59.11%,-, 36.89%,-
13013,0%,-,-,-,-,-
13015,25.55%, 5.55%, 60.00%,-, 34.45%,-
13017,32.69%, 4.09%, 64.30%,-, 31.61%,-
13019,78.50%, 4.30%, 87.10%,-, 8.60%,-
13021,85.34%, 5.48%, 90.82%,-, 3.70%,-
13023,0%,-,-,-,-,-
13025,0%,-,-,-,-,-
13027,84.37%, 4.78%, 89.79%,-, 5.43%,-
13029,44.16%, 17.98%, 63.09%,-, 18.93%,-
13031,89.43%,-, 93.86%, 1.71%, 4.43%,-
13033,86.36%, 4.55%, 90.91%,-, 4.55%,-
13035,78.86%, 4.80%, 87.03%,-, 8.17%,-
13037,53.36%, 14.15%, 69.61%,-, 16.24%,-
13039,96.71%,-, 97.94%, 2.06%,-,-
13043,61.30%,-, 80.11%, 1.08%, 18.81%,-
13045,44.66%, 4.75%, 69.95%,-, 25.29%,-
13047,37.45%, 13.64%, 61.90%,-, 24.46%,-
13049,45.70%, 9.95%, 67.87%,-, 22.17%,-
13051,79.66%, 5.37%, 87.14%,-, 7.49%,-
13053,84.56%,-, 91.95%, 0.67%, 7.38%,-
13055,41.29%, 7.96%, 66.67%,-, 25.37%,-
13057,8.02%,-, 45.20%, 1.57%, 53.22%,-
13059,79.33%, 5.98%, 86.67%,-, 7.34%,-
13061,89.34%, 2.03%, 93.65%,-, 4.31%,-
13063,59.03%,-, 79.25%, 0.54%, 20.21%,-
13065,69.12%, 14.12%, 83.24%,-, 2.65%,-
13067,61.09%, 2.21%, 79.44%,-, 18.35%,-
13069,80.36%, 2.78%, 88.79%,-, 8.43%,-
13071,15.82%,-, 57.58%, 0.66%, 41.76%,-
13073,74.72%,-, 86.99%, 0.74%, 12.27%,-
13075,0%,-,-,-,-,-
13077,88.71%, 3.11%, 92.80%,-, 4.09%,-
13079,97.23%,-, 98.42%, 1.58%,-,-
13081,85.45%,-, 91.87%, 1.71%, 6.42%,-
13083,69.63%, 5.16%, 82.23%,-, 12.61%,-
13085,2.54%, 6.50%, 48.02%,-, 45.48%,-
13087,82.19%, 5.82%, 88.18%,-, 6.00%,-
13089,61.55%, 2.03%, 79.76%,-, 18.21%,-
13091,90.61%,-, 94.48%, 1.66%, 3.87%,-
13093,89.03%,-, 94.13%, 0.77%, 5.10%,-
13095,90.85%, 3.20%, 94.05%,-, 2.74%,-
13097,6.94%, 3.05%, 45.01%,-, 51.95%,-
13099,88.60%,-, 93.64%, 1.31%, 5.05%,-
13101,94.59%,-, 97.30%,-, 2.70%,-
13103,95.34%,-, 97.15%, 2.85%,-,-
13105,56.84%,-, 77.85%, 1.15%, 21.01%,-
13107,67.67%, 2.54%, 82.56%,-, 14.90%,-
13109,0%,-,-,-,-,-
13111,15.37%, 17.75%, 48.81%,-, 33.44%,-
13113,59.74%, 2.60%, 78.57%,-, 18.83%,-
13115,64.35%, 2.77%, 80.79%,-, 16.44%,-
13117,32.21%, 2.98%, 64.61%,-, 32.41%,-
13119,27.50%, 2.34%, 62.58%,-, 35.08%,-
13121,59.16%, 5.33%, 76.91%,-, 17.75%,-
13123,56.71%, 7.93%, 74.39%,-, 17.68%,-
13125,20.11%,-, 59.24%, 1.63%, 39.13%,-
13127,90.98%, 2.61%, 94.19%,-, 3.21%,-
13129,1.84%, 4.27%, 48.79%,-, 46.95%,-
13131,89.60%, 4.37%, 93.97%, 1.66%,-,-
13133,54.74%,-, 76.64%, 1.46%, 21.90%,-
13135,24.79%, 3.35%, 60.72%,-, 35.93%,-
13137,19.83%, 5.31%, 57.26%,-, 37.43%,-
13139,56.64%, 7.55%, 74.54%,-, 17.90%,-
13141,84.86%, 2.16%, 91.35%,-, 6.49%,-
13143,28.71%,-, 34.78%, 1.72%, 63.50%,-
13145,90.28%,-, 94.81%, 0.65%, 4.54%,-
13147,27.43%,-, 62.96%, 1.51%, 35.53%,-
13149,76.58%,-, 87.38%, 1.83%, 10.80%,-
13151,61.52%, 2.23%, 79.64%,-, 18.13%,-
13153,92.00%, 3.00%, 95.00%, 2.00%,-,-
13155,79.96%,-, 89.35%, 1.25%, 9.39%,-
13157,31.95%, 2.65%, 64.65%,-, 32.70%,-
