04011,x,"3,858",255,6.61%, 52.18%, 45.57%, 2.10%, 0.16%,"1,758",81, 6
04012,x,x,x,x,x,x,x,x,0,0,0%
04013,x,"353,000","149,458",42.34%, 69.29%, 26.95%, 3.68%, 0.08%,"95,135","12,999", 273
04015,x,"9,801","4,167",42.52%, 68.92%, 26.41%, 4.58%, 0.09%,"2,588",449, 9
04017,x,"11,572","2,996",25.89%, 60.48%, 34.59%, 4.85%, 0.08%,"4,003",561, 9
04019,x,"161,110","16,931",10.51%, 45.41%, 34.90%, 18.07%, 1.63%,"56,223","29,113"," 2,620"
04021,x,"17,559","4,180",23.81%, 60.28%, 36.47%, 3.16%, 0.09%,"6,404",555, 16
04023,x,x,x,"4,079",271,6.64%, 52.39%, 45.75%,"2,137","1,866", 76
04025,x,"18,667","8,300",44.46%, 65.77%, 21.30%, 7.85%, 5.07%,"3,977","1,466",947
04027,x,"15,106","4,841",32.05%, 63.52%, 31.48%, 4.98%, 0.02%,"4,755",752, 3
05001,x,x,x,"7,113","3,376",47.46%, 73.46%, 25.99%,"5,225","1,849", 39
05003,x,x,x,"7,203","3,826",53.12%, 76.44%, 23.32%,"5,506","1,680", 17
05005,x,x,x,"9,560","4,077",42.65%, 70.65%, 28.00%,"6,754","2,677", 129
05007,x,x,x,"18,778","10,538",56.12%, 77.86%, 21.74%,"14,621","4,083", 74
05009,x,x,x,"7,362","3,622",49.20%, 74.49%, 25.29%,"5,484","1,862", 16
05011,x,x,x,"4,614","1,850",40.10%, 69.74%, 29.65%,"3,218","1,368", 28
05013,x,x,x,"2,020",591,29.26%, 64.26%, 35.00%,"1,298",707, 15
05015,x,x,x,"5,086","2,164",42.55%, 70.09%, 27.55%,"3,565","1,401",120
05017,x,x,x,"4,333","1,389",32.06%, 65.96%, 33.90%,"2,858","1,469", 6
05019,x,x,x,"6,960","1,432",20.57%, 59.96%, 39.38%,"4,173","2,741", 46
05021,x,x,x,x,x,"6,314","2,448",38.77%, 30.61%,"4,381","1,933"
05023,x,x,x,"4,274","1,470",34.39%, 67.15%, 32.76%,"2,870","1,400", 4
05025,x,x,x,x,x,"2,571","1,103",42.90%, 28.55%,"1,837",734
05027,x,x,x,"8,023","3,608",44.97%, 72.30%, 27.33%,"5,801","2,193", 29
05029,x,x,x,"7,205","1,178",16.35%, 58.11%, 41.76%,"4,187","3,009", 9
05031,x,x,x,x,x,"17,155","5,469",31.88%, 34.06%,"11,312","5,843"
05033,x,x,x,"8,566","5,454",63.67%, 81.41%, 17.74%,"6,974","1,520", 72
05035,x,x,x,x,x,"11,217","4,725",42.12%, 28.94%,"7,971","3,246"
05037,x,x,x,"5,143","2,522",49.04%, 72.78%, 23.74%,"3,743","1,221",179
05039,x,x,x,x,x,"3,554",750,21.10%, 39.45%,"2,152","1,402"
05041,x,x,x,"5,058","1,720",34.01%, 66.92%, 32.92%,"3,385","1,665", 8
05043,x,x,x,x,x,"4,502","2,166",48.11%, 25.94%,"3,334","1,168"
05045,x,x,x,x,x,"11,350","2,142",18.87%, 40.56%,"6,746","4,604"
05047,x,x,x,x,x,"4,930","2,426",49.21%, 25.40%,"3,678","1,252"
05049,x,x,x,x,x,"2,990","1,070",35.79%, 32.11%,"2,030",960
05051,x,x,x,"21,112","10,395",49.24%, 73.90%, 24.66%,"15,602","5,207", 303
05053,x,x,x,"3,581","1,267",35.38%, 67.41%, 32.03%,"2,414","1,147", 20
05055,x,x,x,x,x,"8,391","3,865",46.06%, 26.97%,"6,128","2,263"
05057,x,x,x,x,x,"7,010","2,916",41.60%, 29.20%,"4,963","2,047"
05059,x,x,x,"8,333","2,506",30.07%, 64.54%, 34.47%,"5,378","2,872", 83
05061,x,x,x,x,x,"3,751","1,613",43.00%, 28.50%,"2,682","1,069"
05063,x,x,x,"7,721","2,446",31.68%, 65.74%, 34.06%,"5,076","2,630", 15
05065,x,x,x,"3,114",893,28.68%, 64.26%, 35.58%,"2,001","1,108", 5
05067,x,x,x,x,x,"6,288","2,104",33.46%, 33.27%,"4,196","2,092"
05069,x,x,x,"27,260","6,542",24.00%, 61.95%, 37.95%,"16,888","10,346", 26
05071,x,x,x,x,x,"6,152","2,062",33.52%, 33.24%,"4,107","2,045"
05073,x,x,x,"3,421","1,508",44.08%, 71.91%, 27.83%,"2,460",952, 9
05075,x,x,x,x,x,"5,732","2,230",38.90%, 30.55%,"3,981","1,751"
05077,x,x,x,"5,481","1,633",29.79%, 64.59%, 34.79%,"3,540","1,907", 34
05079,x,x,x,x,x,"3,433","1,203",35.04%, 32.48%,"2,318","1,115"
05081,x,x,x,x,x,"3,641","1,459",40.07%, 29.96%,"2,550","1,091"
05083,x,x,x,"6,950","3,008",43.28%, 71.42%, 28.14%,"4,964","1,956", 30
05085,x,x,x,"7,835","2,794",35.66%, 67.62%, 31.96%,"5,298","2,504", 33
05087,x,x,x,x,x,"5,261","1,483",28.19%, 35.91%,"3,372","1,889"
05089,x,x,x,"3,497","1,223",34.97%, 66.66%, 31.68%,"2,331","1,108", 58
05091,x,x,x,x,x,"11,210","5,500",49.06%, 25.47%,"8,355","2,855"
05093,x,x,x,"14,627","7,387",50.50%, 74.73%, 24.23%,"10,931","3,544", 152
05095,x,x,x,"4,566","1,319",28.89%, 63.45%, 34.56%,"2,897","1,578", 91
05097,x,x,x,"2,281",867,38.01%, 68.17%, 30.16%,"1,555",688, 38
05099,x,x,x,x,x,"3,692","1,334",36.13%, 31.93%,"2,513","1,179"
05101,x,x,x,x,x,"2,755","1,093",39.67%, 30.16%,"1,924",831
05103,x,x,x,"10,562","2,689",25.46%, 62.68%, 37.22%,"6,620","3,931", 11
