statecounty,0.52, 48.38, 47.87, 2.74, 1.02,"50,462,412","2,883,443"," 1,070,320"
05005,18.09, 57.09, 39.00, 2.57, 1.35,"6,516",429, 225
05007,"53,646","17,561",32.73, 64.94, 32.21,"34,838","17,277"," 1,531"
05009,29.89, 62.85, 32.95, 2.12, 2.08,"4,493",289, 284
05011,"3,979",329,8.27, 53.33, 45.06,"2,122","1,793", 64
05013,"2,185",111,5.08, 51.62, 46.54,"1,128","1,017", 40
05015,20.45, 57.94, 37.49, 3.14, 1.44,"3,595",301, 138
05017,"4,452","1,256",28.21, 63.34, 35.13,"2,820","1,564", 68
05019,"8,626",885,10.26, 54.03, 43.77,"4,661","3,776", 189
05021,"5,900","1,273",21.58, 59.78, 38.20,"3,527","2,254", 119
05023,"10,207","1,610",15.77, 56.14, 40.36,"5,730","4,120", 357
05025,"3,181",264,8.30, 52.75, 44.45,"1,678","1,414", 89
05027,"9,307","1,015",10.91, 53.92, 43.01,"5,018","4,003", 286
05029,"7,234",49,0.68, 49.00, 48.33,"3,545","3,496", 193
05031,"25,157",218,0.87, 49.20, 48.33,"12,376","12,158", 623
05033,"17,625","4,516",25.62, 61.30, 35.68,"10,804","6,288", 533
05035,"13,234","1,367",10.33, 54.59, 44.26,"7,224","5,857", 153
05037,"6,215",63,1.01, 49.81, 48.80,"3,096","3,033", 86
05039,"3,325",139,4.18, 51.43, 47.25,"1,710","1,571", 44
05041,"4,495","1,173",26.10, 61.76, 35.66,"2,776","1,603", 116
05043,"5,922",304,5.13, 51.67, 46.54,"3,060","2,756", 106
05045,"29,216","4,105",14.05, 54.95, 40.90,"16,055","11,950"," 1,211"
05047,"6,140",603,9.82, 53.37, 43.55,"3,277","2,674", 189
05049,"4,108",60,1.46, 49.56, 48.10,"2,036","1,976", 96
05051,"35,935","3,258",9.07, 53.15, 44.08,"19,098","15,840", 997
05053,"6,013",750,12.47, 54.63, 42.16,"3,285","2,535", 193
05055,"12,484",488,3.91, 50.62, 46.71,"6,319","5,831", 334
05057,"7,289",680,9.33, 54.01, 44.68,"3,937","3,257", 95
05059,"10,981",485,4.42, 50.33, 45.92,"5,527","5,042", 412
05061,"4,459",263,5.90, 52.16, 46.27,"2,326","2,063", 70
05063,"11,594",999,8.62, 53.00, 44.39,"6,145","5,146", 303
05065,"5,032",286,5.68, 51.41, 45.73,"2,587","2,301", 144
05067,"6,072","1,371",22.58, 60.13, 37.55,"3,651","2,280", 141
05069,"27,201","8,951",32.91, 65.13, 32.22,"17,716","8,765", 720
05071,"7,161",387,5.40, 51.07, 45.66,"3,657","3,270", 234
05073,"3,383",268,7.92, 53.38, 45.46,"1,806","1,538", 39
05075,"6,040",629,10.41, 53.89, 43.48,"3,255","2,626", 159
05077,"4,121","1,376",33.39, 66.17, 32.78,"2,727","1,351", 43
05079,"3,546",431,12.15, 55.19, 43.03,"1,957","1,526", 63
05081,"5,263",600,11.40, 54.78, 43.38,"2,883","2,283", 97
05083,"8,096","1,204",14.87, 55.42, 40.55,"4,487","3,283", 326
05085,"17,943","3,755",20.93, 59.11, 38.18,"10,606","6,851", 486
05087,"5,628","1,332",23.67, 60.18, 36.51,"3,387","2,055", 186
05089,19.43, 56.56, 37.12, 3.66, 2.66,"2,233",220, 160
05091,"13,745",998,7.26, 52.94, 45.67,"7,276","6,278", 191
05093,"12,586","1,908",15.16, 56.47, 41.31,"7,107","5,199", 280
05095,"3,293",581,17.64, 58.00, 40.36,"1,910","1,329", 54
05097,18.45, 56.91, 38.46, 2.70, 1.93,"1,438",101, 72
05099,"3,738",71,1.90, 49.95, 48.05,"1,867","1,796", 75
05101,33.72, 64.40, 30.69, 2.85, 2.06,"1,205",112, 81
05103,"10,395",725,6.97, 52.56, 45.59,"5,464","4,739", 192
05105,"4,007",466,11.63, 52.76, 41.13,"2,114","1,648", 245
05107,"9,313","2,864",30.75, 64.62, 33.87,"6,018","3,154", 141
05109,"3,971",671,16.90, 57.29, 40.39,"2,275","1,604", 92
05111,"7,235","1,114",15.40, 56.70, 41.30,"4,102","2,988", 145
05113,"7,193","2,285",31.77, 63.95, 32.18,"4,600","2,315", 278
05115,"18,422","4,575",24.83, 61.04, 36.20,"11,244","6,669", 509
05117,"3,507",299,8.53, 53.09, 44.57,"1,862","1,563", 82
05119,"127,151","12,454",9.79, 53.73, 43.94,"68,320","55,866"," 2,965"
05121,"5,877",346,5.89, 51.37, 45.48,"3,019","2,673", 185
05123,"8,496","1,572",18.50, 58.69, 40.18,"4,986","3,414", 96
05125,"32,391","5,917",18.27, 57.48, 39.21,"18,617","12,700"," 1,074"
05127,"3,981",955,23.99, 60.26, 36.27,"2,399","1,444", 138
05129,34.03, 64.32, 30.29, 2.05, 3.35,"1,229",83, 136
05131,"40,159","7,928",19.74, 58.48, 38.73,"23,483","15,555"," 1,121"
05133,"4,293",16,0.37, 49.17, 48.80,"2,111","2,095", 87
05135,"7,126",462,6.48, 51.89, 45.41,"3,698","3,236", 192
05137,11.93, 53.97, 42.04, 2.02, 1.98,"2,043",98, 96
05139,"15,609","2,386",15.29, 55.40, 40.11,"8,647","6,261", 701
05141,4.05, 49.90, 45.85, 2.19, 2.06,"3,202",153, 144
05143,13.23, 54.86, 41.64, 2.35, 1.16,"21,425","1,208", 595
05145,"22,150","4,828",21.80, 59.46, 37.66,"13,170","8,342", 638
05147,"2,651",801,30.22, 64.09, 33.87,"1,699",898, 54
05149,"6,479",161,2.48, 49.75, 47.26,"3,223","3,062", 194
06001,45.23, 69.36, 24.13, 5.56, 0.94,"119,279","27,499"," 4,669"
06003,2.73, 47.95, 45.22, 4.27, 2.56,265,25, 15
06005,18.49, 56.69, 38.19, 3.78, 1.35,"5,906",584, 208
06007,17.02, 54.45, 37.43, 6.84, 1.28,"31,338","5,727"," 1,072"
06009,18.57, 56.15, 37.58, 4.57, 1.70,"7,093",863, 321
06011,33.70, 64.92, 31.22, 2.70, 1.16,"1,745",151, 65
06013,21.75, 58.81, 37.06, 3.43, 0.71,"141,373","13,067"," 2,700"
06015,16.99, 54.57, 37.58, 5.85, 2.00,"3,117",485, 166
06017,21.94, 58.29, 36.35, 4.18, 1.19,"26,220","3,013", 858
06019,10.09, 53.14, 43.05, 2.96, 0.86,"95,059","6,541"," 1,893"
06021,37.85, 66.53, 28.68, 3.08, 1.72,"2,498",268, 150
06023,2.92, 44.40, 41.48, 12.68, 1.43,"23,219","7,100", 802
06025,10.25, 53.53, 43.28, 2.10, 1.09,"12,524",608, 316
06027,26.37, 60.31, 33.93, 4.40, 1.36,"2,652",344, 106
06029,"182,308","44,660",24.50, 60.70, 36.20,"110,663","66,003"," 5,642"
06031,18.83, 57.80, 38.97, 2.00, 1.24,"11,041",567, 350
06033,9.65, 51.23, 41.58, 6.05, 1.14,"8,699","1,265", 238
06035,38.71, 66.88, 28.17, 3.20, 1.75,"2,982",339, 185
06037,31.11, 63.47, 32.35, 3.11, 1.08,"871,930","83,731"," 28,988"
06039,25.85, 60.74, 34.89, 3.23, 1.14,"11,650","1,080", 382
06041,35.94, 64.26, 28.32, 6.73, 0.70,"34,872","8,289", 859
06043,23.67, 58.55, 34.88, 4.69, 1.88,"2,816",379, 152
06045,12.68, 48.34, 35.66, 14.68, 1.32,"12,272","5,051", 453
06047,6.70, 51.77, 45.08, 2.31, 0.84,"22,726","1,166", 424
06049,49.28, 72.29, 23.01, 2.97, 1.73,945,122, 71
06051,11.62, 52.53, 40.91, 5.26, 1.30,"1,788",230, 57
