statecounty,margin,nixon,humphrey,wallace
21199,42.38, 64.26, 21.88, 13.80
21201,0.99, 41.15, 40.16, 18.40
21203,48.04, 66.96, 18.92, 14.04
21205,2.67, 45.23, 42.57, 12.13
21207,43.93, 64.29, 20.36, 15.21
21209,4.27, 35.07, 39.35, 24.92
21211,4.82, 37.78, 42.60, 19.57
21213,1.61, 33.07, 34.69, 32.04
21215,9.66, 41.89, 32.23, 25.60
21217,24.80, 50.88, 22.94, 26.08
21219,11.14, 31.99, 24.16, 43.13
21221,4.14, 30.38, 36.73, 32.59
21223,27.15, 25.98, 53.13, 20.64
21225,14.01, 23.66, 45.15, 31.14
21227,16.33, 45.76, 29.44, 24.71
21229,4.68, 46.35, 41.68, 11.74
21231,31.75, 61.08, 29.33, 9.50
21233,13.62, 29.48, 43.10, 27.26
21235,37.13, 59.74, 22.61, 17.48
21237,18.31, 34.35, 52.65, 12.78
21239,5.70, 42.51, 36.81, 19.99
22001,33.06, 18.70, 24.12, 57.18
22003,30.35, 13.83, 27.91, 58.26
22005,26.56, 12.69, 30.37, 56.94
22007,13.10, 19.69, 33.60, 46.70
22009,31.06, 20.17, 24.38, 55.45
22011,33.64, 22.33, 21.70, 55.97
22013,27.50, 15.24, 28.63, 56.13
22015,34.89, 23.74, 17.63, 58.63
22017,10.75, 31.51, 26.24, 42.25
22019,12.75, 21.46, 32.89, 45.65
22021,34.43, 13.19, 26.19, 60.62
22023,43.27, 15.62, 20.56, 63.83
22025,45.42, 17.97, 18.31, 63.72
22027,29.57, 18.70, 25.87, 55.43
22029,34.12, 12.99, 26.44, 60.57
22031,9.22, 11.37, 39.70, 48.93
22033,17.13, 27.53, 27.67, 44.80
22035,5.22, 13.89, 45.66, 40.45
22037,19.95, 11.17, 34.44, 54.39
22039,40.79, 13.40, 22.90, 63.70
22041,60.92, 14.76, 9.56, 75.68
22043,42.74, 20.18, 16.90, 62.92
22045,13.46, 28.63, 28.96, 42.41
22047,2.10, 14.44, 41.73, 43.83
22049,36.77, 16.80, 23.21, 59.98
22051,13.57, 32.19, 22.05, 45.76
22053,23.14, 22.70, 27.08, 50.22
22055,3.47, 35.12, 26.28, 38.59
22057,25.42, 22.60, 25.99, 51.41
22059,44.82, 21.52, 12.15, 66.34
22061,17.82, 29.77, 22.63, 47.59
22063,69.42, 7.73, 11.42, 80.85
22065,4.91, 11.41, 46.75, 41.84
22067,40.08, 19.82, 20.05, 60.13
22069,13.22, 19.93, 33.43, 46.64
22071,7.81, 26.71, 40.55, 32.74
22073,15.95, 31.82, 20.41, 47.77
22075,61.88, 11.33, 13.39, 75.28
22077,4.92, 11.34, 41.87, 46.79
22079,17.14, 28.95, 24.96, 46.09
22081,41.45, 10.08, 24.24, 65.69
22083,52.36, 15.95, 15.74, 68.31
22085,49.44, 16.52, 17.02, 66.46
22087,50.30, 18.32, 13.06, 68.62
22089,14.38, 18.35, 33.63, 48.02
22091,13.32, 6.50, 40.09, 53.41
22093,3.40, 11.91, 45.74, 42.34
22095,0.01, 12.65, 43.67, 43.68
22097,14.20, 13.90, 35.95, 50.15
22099,14.82, 16.74, 34.22, 49.04
22101,8.70, 27.53, 31.89, 40.58
22103,31.91, 23.34, 21.41, 55.25
22105,38.64, 13.86, 23.75, 62.39
22107,16.87, 19.07, 32.03, 48.90
22109,19.39, 27.92, 24.77, 47.31
22111,43.89, 16.50, 19.80, 63.70
22113,28.39, 21.55, 25.03, 53.42
22115,46.04, 18.29, 17.38, 64.33
22117,50.78, 10.78, 19.22, 70.00
22119,41.21, 17.81, 20.49, 61.70
22121,10.53, 12.73, 38.37, 48.90
22123,65.63, 12.85, 8.67, 78.48
22125,8.61, 11.08, 48.76, 40.16
22127,44.24, 16.68, 19.54, 63.78
23001,43.52, 27.52, 71.04,-
23003,3.85, 47.61, 51.46,-
23005,15.92, 41.35, 57.27,-
23007,2.09, 48.01, 50.10,-
23009,27.85, 62.95, 35.10,-
23011,15.00, 41.81, 56.81,-
23013,12.30, 55.25, 42.95,-
23015,24.61, 61.11, 36.50, 2.40
23017,14.73, 41.66, 56.39,-
23019,9.59, 44.47, 54.06,-
23021,5.23, 46.24, 51.47, 2.28
23023,14.43, 41.73, 56.16, 2.11
23025,10.37, 43.76, 54.13, 2.11
23027,15.10, 56.19, 41.08, 2.73
23029,6.06, 46.10, 52.16,-
23031,20.32, 38.91, 59.23,-
24001,1.05, 42.50, 41.45, 16.05
24003,14.40, 47.09, 32.70, 20.21
24005,12.85, 49.74, 36.89, 13.37
24009,1.58, 35.71, 37.29, 27.00
24011,22.84, 50.07, 27.23, 22.69
24013,36.83, 60.56, 23.73, 15.71
24015,13.68, 45.46, 31.78, 22.76
24017,3.30, 38.50, 35.20, 26.30
24019,9.55, 41.36, 26.83, 31.81
24021,20.27, 51.87, 31.60, 16.52
24023,30.83, 59.38, 28.54, 12.08
24025,19.18, 51.48, 32.30, 16.22
24027,22.72, 53.81, 31.08, 15.11
24029,11.10, 46.50, 35.41, 18.09
24031,3.85, 44.23, 48.08, 7.69
24033,0.98, 41.24, 40.26, 18.50
24035,14.93, 46.92, 31.99, 21.09
24037,0.74, 36.49, 35.75, 27.76
24039,7.24, 40.14, 32.91, 26.95
24041,25.81, 55.18, 29.37, 15.45
24043,14.05, 47.13, 33.08, 19.78
24045,17.96, 47.18, 29.22, 23.60
24047,20.05, 47.48, 27.43, 25.09
24510,33.91, 27.65, 61.56, 10.79
25001,18.38, 57.63, 39.24, 2.95
25003,23.92, 35.80, 59.72, 4.02
25005,34.19, 30.87, 65.06, 3.81
25007,1.13, 49.31, 48.19, 2.35
25009,25.62, 35.40, 61.03, 3.28
25011,1.08, 48.63, 47.55, 3.52
25013,31.21, 31.31, 62.52, 5.53
25015,22.89, 35.83, 58.72, 5.10
25017,31.51, 32.60, 64.11, 2.87
25019,13.78, 55.30, 41.52, 2.90
25021,24.29, 36.01, 60.30, 3.41
25023,10.26, 42.70, 52.96, 4.17
25025,57.42, 18.20, 75.62, 5.62
25027,30.20, 33.32, 63.52, 2.92
26001,28.36, 58.76, 30.39, 10.72
26003,14.83, 40.03, 54.87, 4.93
