13163,55.65%, 7.91%, 73.87%,-,-
13165,89.04%,-, 93.71%, 1.63%,-
13167,63.84%, 2.26%, 80.79%,-,-
13169,86.08%, 6.26%, 92.34%, 1.39%,-
13171,0%,-,-,-,-
13173,0%,-,-,-,-
13175,76.29%, 4.34%, 85.98%,-,-
13177,96.59%,-, 97.83%, 2.17%,-
13179,37.97%, 6.95%, 65.51%,-,-
13181,70.30%,-, 84.52%, 1.27%,-
13183,0%,-,-,-,-
13185,88.31%, 2.97%, 92.67%,-,-
13187,41.70%, 8.08%, 66.81%,-,-
13189,65.89%, 11.65%, 77.54%,-,-
13191,68.12%, 14.49%, 82.61%,-,-
13193,61.47%, 3.76%, 78.85%,-,-
13195,73.56%,-, 86.12%, 1.32%,-
13197,50.00%, 8.97%, 70.51%,-,-
13199,81.76%, 2.88%, 89.44%,-,-
13201,92.39%, 3.09%, 95.47%, 1.44%,-
13205,77.98%, 3.88%, 87.05%,-,-
13207,78.28%, 6.21%, 86.04%,-,-
13209,85.95%,-, 92.01%, 1.93%,-
13211,76.84%, 7.76%, 84.61%,-,-
13213,53.85%, 18.82%, 72.67%,-,-
13215,86.71%, 5.54%, 92.25%,-,-
13217,77.58%, 9.41%, 86.99%,-,-
13219,49.92%,-, 74.96%,-,-
13221,85.77%, 2.51%, 91.63%,-,-
13223,7.72%,-, 45.80%, 0.68%,-
13225,0%,-,-,-,-
13227,6.11%, 33.31%, 39.41%,-,-
13229,67.45%, 14.19%, 81.64%,-,-
13231,70.44%, 6.94%, 81.75%,-,-
13233,24.35%,-, 62.18%,-,-
13235,85.92%, 3.10%, 91.41%,-,-
13237,96.60%,-, 98.30%, 1.70%,-
13239,77.46%,-, 88.03%, 1.41%,-
13241,50.17%, 9.66%, 70.26%,-,-
13243,84.67%, 6.05%, 90.72%,-,-
13245,62.94%, 6.86%, 78.04%,-,-
13247,67.37%, 11.79%, 79.16%,-,-
13249,72.20%,-, 85.71%, 0.77%,-
13251,69.43%, 4.74%, 82.35%,-,-
13253,0%,-,-,-,-
13255,66.44%, 3.99%, 81.23%,-,-
13257,76.52%, 2.61%, 86.96%,-,-
13259,88.26%, 4.50%, 92.76%,-,-
13261,89.68%, 3.32%, 93.18%,-,-
13263,91.14%, 3.14%, 94.28%,-,-
13265,87.32%, 2.54%, 92.39%,-,-
13267,45.44%, 5.95%, 69.74%,-,-
13269,50.78%, 9.91%, 70.43%,-,-
13271,89.96%, 3.02%, 93.47%,-,-
13273,87.26%, 5.48%, 92.74%, 1.78%,-
13275,74.36%, 2.78%, 85.79%,-,-
13277,68.94%, 3.36%, 82.79%,-,-
13279,62.32%, 6.07%, 78.13%,-,-
13281,14.56%, 56.92%, 42.37%, 0.71%,-
13283,0%,-,-,-,-
13285,65.58%, 2.52%, 81.53%,-,-
13287,31.80%, 20.22%, 55.79%,-,-
13289,86.25%, 5.00%, 91.25%,-,-
13291,0.85%, 49.57%, 50.43%,-,-
13293,46.98%,-, 72.60%, 1.78%,-
13295,55.07%, 16.74%, 71.82%,-,-
13297,82.08%, 5.61%, 88.24%,-,-
13299,74.17%, 10.57%, 84.74%,-,-
13301,47.43%, 10.98%, 68.22%,-,-
13303,70.74%,-, 84.57%, 1.60%,-
13305,83.85%, 5.64%, 89.49%,-,-
13307,80.57%, 7.07%, 87.63%,-,-
13309,74.94%, 7.00%, 83.97%,-,-
13311,51.95%,-, 75.62%, 0.71%,-
13313,21.26%,-, 60.19%, 0.88%,-
13315,80.61%,-, 89.39%, 1.82%,-
13317,85.83%,-, 91.92%, 1.99%,-
